240	Larsson, Johan	1.475	1.550	UFA		
294	Laughton, Scott	0.963	2.300	2.300	UFA	
786	Lazar, Curtis	0.950	0.700	RFA		
2295	Lee, Anders	3.750	7.000	7.000	7.000	7.000
296	Lehkonen, Artturi	0.925	2.400	2.400	RFA	
297	Lehtera, Jori	4.700	KHL			
298	Leipsic, Brendan	0.650	0.700	UFA		
299	Leivo, Josh	0.925	1.500	UFA		
298	Lemieux, Brendan	1.039	0.925	RFA		
284	L'Esperance, Joel	0.723	0.723	RFA		
	Letestu, Mark	0.750	0.700	UFA		
301	Lettieri, Vinni	0.925	0.700	RFA		
302	Lewis, Trevor	2.000	2.000	UFA		
	Liambas, Michael	0.675	0.675	UFA		
303	Lindberg, Oscar	1.700	SWISS			
304	Lindblom, Oskar	1.138	1.138	RFA		
139	Lindholm, Elias	4.850	4.850	4.850	4.850	4.850
365	Lindholm, Par	1.775	0.850	0.850	UFA	
	Lipon, J.C.	0.650	0.700	RFA		
305	Little, Bryan	5.292	5.292	5.292	5.292	5.292
	Lizotte, Blake	1.492	1.492	1.492	RFA	
	Lomberg, Ryan	0.710	0.700	RFA		
306	Lowry, Adam	2.917	2.917	2.917	UFA	
307	Lucic, Milan	6.000	6.000	6.000	6.000	6.000
308	Luff, Matt	0.677	0.677	RFA		
309	Lundestrom, Isac	0.925	0.925	0.925	RFA	
	Luoto, Joona	FINLAND	0.758	0.758	0.758	RFA
1027	MacArthur, Clarke	4.650	4.650	UFA		
318	MacEachern, MacKenzie	0.650	0.750	RFA		
	MacEwen, Zack	0.996	0.996	RFA		
788	MacKenzie, Derek	1.375	RETIRED			
319	MacKinnon, Nathan	6.300	6.300	6.300	6.300	6.300
320	Maenalanen, Saku	1.275	KHL			
321	Malgin, Denis	0.693	0.750	RFA		
322	Malkin, Evgeni	9.500	9.500	9.500	9.500	UFA
323	Malone, Brad	0.650	0.700	UFA		
	Mamin, Maxim	0.925	KHL			
324	Mangiapane, Andrew	0.800	0.715	RFA		
325	Mantha, Anthony	3.300	3.300	RFA		
326	Marchand, Brad	6.125	6.125	6.125	6.125	6.125
327	Marchessault, Jonathan	5.000	5.000	5.000	5.000	5.000
328	Marleau, Patrick	6.250	0.700	UFA		
329	Marner, Mitchell	1.744	10.893	10.893	10.893	10.893
330	Maroon, Patrick	1.750	0.900	UFA		
	Martel, Danick	0.715	0.700	RFA		
331	Martin, Matt	2.500	2.500	UFA		
332	Martinook, Jordan	1.800	2.000	2.000	UFA	
333	Martinsen, Andreas	0.650	0.700	UFA		
	Matteau, Stefan	0.650	UFA			
334	Matthews, Auston	3.775	11.634	11.634	11.634	11.634
335	McCann, Jared	1.250	1.250	RFA		
871	McCarron, Michael	0.874	0.700	RFA		
336	McCormick, Max	0.650	0.700	UFA		
337	McDavid, Connor	12.500	12.500	12.500	12.500	12.500
19	McGinn, Brock	0.888	2.100	2.100	UFA	
230	McGinn, Jamie	3.333	UFA			
338	McKegg, Greg	0.715	0.750	UFA		
	McKenzie, Curtis	0.750	0.750	UFA		
67	McLeod, Cody	0.750	UFA			
339	Megan, Wade	0.650	RETIRED			
	Megna, Jayson	0.650	0.700	UFA		
340	Meier, Timo	1.644	6.000	6.000	6.000	6.000
	Mersch, Michael	0.675	0.675	UFA		
	Miele, Andy	KHL	0.725	0.725	UFA	
	Mikheyev, Ilya	KHL	0.925	RFA		
789	Milano, Sonny	1.263	0.874	RFA		
250	Miller, J.T.	5.250	5.250	5.250	5.250	5.250
	Mitchell, Zack	0.650	UFA			
342	Mittelstadt, Casey	1.492	1.492	RFA		
343	Monahan, Sean	6.375	6.375	6.375	6.375	6.375
463	Moore, Trevor	1.775	0.775	0.775	RFA	
344	Motte, Tyler	0.925	0.975	RFA		
838	Moulson, Matt	5.000	UFA			
	Mueller, Chris	0.650	0.700	UFA		
349	Namestnikov, Vladislav	4.000	4.000	UFA		
350	Nash, Riley	2.750	2.750	2.750	UFA	
351	Neal, James	5.750	5.750	5.750	5.750	5.750
	Necas, Martin	1.432	1.401	1.401	1.401	RFA
20	Nelson, Brock	4.250	6.000	6.000	6.000	6.000
352	Nichushkin, Valeri	2.950	0.850	RFA		
353	Niederreiter, Nino	5.250	5.250	5.250	5.250	UFA
354	Nielsen, Frans	5.250	5.250	5.250	5.250	UFA
355	Nieto, Matt	1.975	1.975	UFA		
356	Nieves, Cristoval	0.709	0.700	RFA		
	Nilsson, Jacob	1.138	0.700	RFA		
357	Noesen, Stefan	1.725	0.700	UFA		
358	Nolan, Jordan	0.650	0.700	UFA		
359	Nordstrom, Joakim	1.000	1.000	UFA		
360	Nosek, Tomas	0.963	1.000	UFA		
370	Nugent-Hopkins, Ryan	6.000	6.000	6.000	UFA	
	Nygard, Joakim	SWEDEN	0.925	UFA		
371	Nyquist, Gustav	4.750	5.500	5.500	5.500	5.500
2	Nylander, Alex	1.713	1.713	1.713	RFA	
491	Nylander, William	10.278	6.962	6.962	6.962	6.962
	O'Brien, Jim	0.650	GERMANY			
	O'Brien, Liam	0.650	0.700	RFA		
	O'Regan, Danny	0.874	UFA			
1181	O'Reilly, Cal	0.700	UFA			
372	O'Reilly, Ryan	7.500	7.500	7.500	7.500	7.500
361	Okposo, Kyle	6.000	6.000	6.000	6.000	6.000
	Olofsson, Victor	0.925	0.925	RFA		
362	Oshie, T.J.	5.750	5.750	5.750	5.750	5.750
363	Ovechkin, Alex	9.538	9.538	9.538	UFA	
366	Paajarvi, Magnus	0.900	KHL			
367	Pacioretty, Max	4.500	7.000	7.000	7.000	7.000
368	Pageau, Jean-Gabriel	3.100	3.100	UFA		
369	Palat, Ondrej	5.300	5.300	5.300	5.300	UFA
373	Palmieri, Kyle	4.650	4.650	4.650	UFA	
374	Panarin, Artemi	6.000	11.643	11.643	11.643	11.643
375	Panik, Richard	2.800	2.750	2.750	2.750	2.750
